1	EL PROCEDIMIENTO ADMINISTRATIVO SANCIONATORIO SE INICIA CON?	UN AUTO MOTIVO	UN AUTO NOTIFICADO	UN AUTO MOTIVADO	UN AUTO SANCIONADO	C	1	1
2	ESTABLECE LOS PRINCIPIOS Y NORMAS BÁSICAS QUE REGIRÁN EL PROCESO PRESUPUESTARIO DE LOS ORGANISMOS DEL SECTOR PUBLICO ESTADAL 	LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO DELTA AMACURO	LEY ORGÁNICA DE LA ADMINISTRACIÓN FINANCIERA DEL SECTOR PUBLICO	CONSTITUCIÓN DE LA REPUBLICA BOLIVARIANA DE VENEZUELA	NINGUNA DE LAS ANTERIORES	A	1	1
3	SEGÚN EL REGLAMENTO INTERNO DE LA CONTRALORÍA DEL ESTADO DELTA AMACURO,   LA UNIDAD DE AUDITORIA INTERNA DE LA CONTRALORÍA DEL ESTADO ESTA ADSCRITA A:	DIRECCIÓN GENERAL	DIVISIÓN DE SERVICIOS JURÍDICOS	DESPACHO DEL CONTRALOR	TODAS LAS ANTERIORES	C	1	1
4	QUE LEY ESTABLECE QUE EL NOMBRAMIENTO Y REMOCIÓN O DESTITUCIÓN DE LOS FUNCIONARIOS Y EMPLEADOS PÚBLICOS NO PODRÁ ESTAR DETERMINADO POR AFILIACIÓN U ORIENTACIÓN POLÍTICA ALGUNA	REGLAMENTO INTERNO DE LA CONTRALORÍA DEL ESTADO	LEY CONTRA LA CORRUPCIÓN	LOCGRSNCF	LEY DE LOS CONSEJOS COMUNALES	B	1	1
5	SEGÚN LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, EL PROYECTO DE PRESUPUESTO GENERAL DE LA GOBERNACIÓN DEL ESTADO  DEBERÁ SER PRESENTADO ANTE EL CONSEJO LEGISLATIVO POR:	PROCURADOR DEL ESTADO	DIRECTOR DE PLANIFICACIÓN Y PRESUPUESTO DE LA GOBERNACIÓN 	GOBERNADOR O GOBERNADORA DEL ESTADO	TODAS LAS ANTERIORES	C	1	1
6	DE ACUERDO A LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, EN LA LEY DE PRESUPUESTO SE INCORPORARA UNA PARTIDA DENOMINADA "SITUADO MUNICIPAL", CUYO MONTO NO DEBERÁ SER :  	MENOR DEL 20% NI MAYOR AL 30%	MENOR DEL 14% NI MAYOR AL 20%	MENOR DEL 10% NI MAYOR AL 20%	NINGUNA DE LAS ANTERIORES	B	1	1
7	SEGÚN EL REGLAMENTO INTERNO DE LA CONTRALORÍA  DEL ESTADO DELTA AMACURO , LA DIRECCIÓN GENERAL QUEDO CONFORMADA POR:  	DIVISIÓN DE RECURSOS HUMANOS, DIVISIÓN DE ADMINISTRACIÓN Y PRESUPUESTO, DIVISIÓN TÉCNICA Y DIVISIÓN DE SERVICIOS GENERALES 	DIRECCIÓN SECT. DE CONTROL DE ADMINISTRACIÓN CENTRAL, DIRECCIÓN SECT. DE CONTROL DE ADMINISTRACIÓN DESCENTRALIZADA Y UNIDAD DE AUDITORIA INTERNA 	DIVISIÓN DE SERVICIOS JURÍDICOS, OFICINA DE ATENCIÓN Y PARTICIPACIÓN CIUDADANA 	NINGUNA DE LAS ANTERIORES	A	1	1
8	CUANDO LA CGR DETERMINE LA RESPONSABILIDAD ADMINISTRATIVA DE UN FUNCIONARIO PÚBLICO REMITIRÁ EL RESULTADO DE LAS ACTUACIONES PARA QUE SE EJERZA LAS ACCIONES CORRESPONDIENTE A	EL MINISTERIO DEL TRABAJO	EL MINISTERIO PUBLICO	EL MINISTERIO PLANIFICACIÓN Y DESARROLLO	LA PROCURADURÍA GENERAL	B	1	1
9	DE  ACUERDO A LA LEY DE RÉGIMEN PRESUPUESTARIO  DEL ESTADO, LOS CRÉDITOS PRESUPUESTARIOS DEL PRESUPUESTO DE GASTOS ASIGNADOS A LOS PROGRAMAS, SUB-PROGRAMAS, PROYECTOS O SUS CATEGORÍAS EQUIVALENTES, Y PARTIDAS,  CONSTITUYEN    	LIMITE MÁXIMO PARA GASTAR	MONTO DISPONIBLE EN BANCO PARA GASTAR	EJECUCIÓN PRESUPUESTARIA Y FINANCIERA	NINGUNA DE LAS ANTERIORES	A	1	1
10	DE ACUERDO CON LA LEY CONTRA LA CORRUPCIÓN, EL EJECUTIVO NACIONAL DEBERÁ  SOMETER A CONSULTA PÚBLICA ANTES DE SU PRESENTACIÓN A LA ASAMBLEA NACIONAL  LO SIGUIENTE	ANTEPROYECTO DE LEY DEL MARCO PLURIANUAL DEL PRESUPUESTO	ANTEPROYECTO DEL PLAN OPERATIVO NACIONAL	ANTEPROYECTO DEL DISEÑO DE LOS INDICADORES DE GESTIÓN	NINGUNA DE LAS ANTERIORES	A	1	1
11	EL FUNCIONARIO PÚBLICO QUE ABUSANDO DE SUS FUNCIONES , ORDENE O EJECUTE EN DAÑO DE ALGUNA PERSONA UN ACTO ARBITRARIO QUE NO ESTÉ ESPECIALMENTE PREVISTO COMO DELITO O FALTA POR UNA DISPOSICIÓN DE LA LEY, SERÁ CASTIGADO POR PRISIÓN DE:	6 MESES A 1 AÑO	6 MESES A 2 AÑOS	6 MESES A 3 AÑOS	5 AÑOS	B	1	1
12	LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO ESTABLECE QUE DEBE CLASIFICARSE POR SECTORES  Y CADA SECTOR SE SUBDIVIDIRÁ EN PROGRAMAS, SUB-PROGRAMAS, PROYECTOS Y DEMÁS CATEGORÍAS PROGRAMÁTICAS	PRESUPUESTO DE GASTOS	ESTADOS FINANCIEROS 	PLAN OPERATIVO	TODAS LAS ANTERIORES	A	1	1
13	DE ACUERDO CON LA LEY DE RÉGIMEN PRESUPUESTARIO DEL ESTADO, SE INICIA EL 01  DE ENERO Y CULMINA EL 31 DE DICIEMBRE DE CADA AÑO  	LEY DE PRESUPUESTO	EJERCICIO ECONÓMICO FINANCIERO 	EJECUCIÓN PRESUPUESTARIA	NINGUNA DE LAS ANTERIORES	B	1	1
14	SEGÚN EL REGLAMENTO INTERNO DE ESTA CONTRALORÍA DEL ESTADO DELTA AMACURO  LA FIRMA DE LAS COMUNICACIONES EXTERNAS DIRIGIDAS A LA ADMINISTRACIÓN PUBLICA NACIONAL, ESTADAL O MUNICIPAL, AL SECTOR PRIVADO Y A LOS PARTICULARES SERÁ DE LA COMPETENCIA EXCLUSIVA DE: 	DIRECTOR O DIRECTORA GENERAL	CONTRALOR O CONTRALORA DEL ESTADO	ADMINISTRADOR O ADMINISTRADORA DEL ESTADO	NINGUNA DE LAS ANTERIORES	A	1	1
